j g(j) i g(i) wl A A^a A/A^a f
1325 8.000 1 4.000 12.8046 3.921E-06 1.990E+11 1.970E-17 1.928E-19
1200 8.000 1 4.000 12.8258 3.187E-06 8.647E+10 3.686E-17 1.572E-19
1185 8.000 1 4.000 12.8259 2.873E-06 3.097E+11 9.274E-18 1.417E-19
1152 8.000 1 4.000 12.8340 2.437E-06 3.142E+07 7.758E-14 1.204E-19
289 6.000 1 4.000 13.0054 3.005E-06 7.419E+03 4.050E-10 1.143E-19
1337 8.000 1 4.000 12.8045 1.945E-06 1.220E+11 1.594E-17 9.562E-20
897 8.000 1 4.000 12.8613 1.902E-06 3.114E+11 6.110E-18 9.438E-20
290 8.000 1 4.000 13.0054 1.756E-06 7.862E+03 2.234E-10 8.907E-20
1466 8.000 1 4.000 12.7867 1.795E-06 3.344E+09 5.368E-16 8.802E-20
511 8.000 1 4.000 12.9270 1.605E-06 3.279E+08 4.895E-15 8.040E-20
1145 8.000 1 4.000 12.8340 1.365E-06 2.044E+09 6.679E-16 6.745E-20
560 8.000 1 4.000 12.9180 1.343E-06 8.341E+09 1.610E-16 6.720E-20
949 8.000 1 4.000 12.8607 1.335E-06 6.634E+10 2.012E-17 6.622E-20
1191 8.000 1 4.000 12.8258 1.285E-06 1.987E+11 6.467E-18 6.337E-20
592 8.000 1 4.000 12.9178 1.227E-06 3.265E+10 3.758E-17 6.140E-20
517 8.000 1 4.000 12.9269 1.148E-06 6.575E+08 1.747E-15 5.755E-20
288 4.000 1 4.000 13.0054 2.174E-06 7.085E+03 3.068E-10 5.513E-20
223 8.000 1 4.000 13.0419 1.047E-06 1.099E+08 9.527E-15 5.340E-20
987 8.000 1 4.000 12.8607 1.062E-06 2.433E+10 4.367E-17 5.270E-20
1533 8.000 1 4.000 12.7313 9.908E-07 7.969E+10 1.243E-17 4.815E-20
801 8.000 1 4.000 12.8821 8.126E-07 2.601E+06 3.124E-13 4.042E-20
1444 8.000 1 4.000 12.7867 7.070E-07 1.367E+09 5.170E-16 3.468E-20
296 8.000 1 4.000 13.0054 6.668E-07 8.225E+04 8.106E-12 3.382E-20
504 8.000 1 4.000 12.9271 6.520E-07 5.266E+08 1.238E-15 3.268E-20
1358 6.000 1 4.000 12.8045 8.570E-07 1.766E+09 4.853E-16 3.160E-20
885 8.000 1 4.000 12.8615 5.854E-07 3.310E+11 1.769E-18 2.903E-20
516 8.000 1 4.000 12.9270 4.691E-07 9.414E+08 4.983E-16 2.351E-20
1067 8.000 1 4.000 12.8553 4.589E-07 4.157E+07 1.104E-14 2.274E-20
1034 8.000 1 4.000 12.8606 4.422E-07 6.878E+10 6.430E-18 2.193E-20
1492 8.000 1 4.000 12.7524 4.494E-07 6.707E+11 6.700E-19 2.191E-20
297 6.000 1 4.000 13.0054 5.657E-07 8.180E+04 6.915E-12 2.152E-20
451 8.000 1 4.000 12.9571 4.247E-07 1.819E+09 2.334E-16 2.138E-20
1204 8.000 1 4.000 12.8258 4.302E-07 1.386E+11 3.104E-18 2.122E-20
1428 8.000 1 4.000 12.7874 3.693E-07 4.309E+11 8.570E-19 1.810E-20
367 8.000 1 4.000 12.9843 3.371E-07 3.655E+08 9.224E-16 1.704E-20
1098 8.000 1 4.000 12.8434 3.286E-07 2.039E+09 1.612E-16 1.626E-20
1346 8.000 1 4.000 12.8045 3.193E-07 8.817E+10 3.621E-18 1.570E-20
672 8.000 1 4.000 12.8909 2.872E-07 4.149E+09 6.923E-17 1.431E-20
1148 8.000 1 4.000 12.8340 2.879E-07 3.959E+07 7.271E-15 1.422E-20
1526 8.000 1 4.000 12.7313 2.918E-07 4.409E+11 6.617E-19 1.418E-20
894 8.000 1 4.000 12.8614 2.856E-07 2.149E+11 1.329E-18 1.417E-20
674 6.000 1 4.000 12.8909 3.343E-07 1.012E+08 3.304E-15 1.250E-20
219 8.000 1 4.000 13.0420 2.315E-07 1.256E+07 1.843E-14 1.181E-20
155 8.000 1 4.000 13.1096 2.126E-07 1.457E+07 1.459E-14 1.096E-20
159 8.000 1 4.000 13.1094 2.026E-07 1.287E+08 1.574E-15 1.044E-20
675 8.000 1 4.000 12.8909 1.859E-07 6.853E+07 2.712E-15 9.263E-21
298 6.000 1 4.000 13.0054 2.122E-07 2.160E+00 9.823E-08 8.073E-21
1368 8.000 1 4.000 12.8045 1.389E-07 8.391E+07 1.655E-15 6.828E-21
1058 8.000 1 4.000 12.8555 1.213E-07 7.634E+09 1.589E-17 6.010E-21
281 8.000 1 4.000 13.0055 1.180E-07 9.136E+06 1.292E-14 5.985E-21
1081 8.000 1 4.000 12.8524 1.098E-07 1.136E+09 9.663E-17 5.437E-21
1344 8.000 1 4.000 12.8045 1.035E-07 1.374E+11 7.532E-19 5.085E-21
509 8.000 1 4.000 12.9271 9.679E-08 5.091E+08 1.901E-16 4.850E-21
900 8.000 1 4.000 12.8613 9.490E-08 3.738E+11 2.539E-19 4.707E-21
670 8.000 1 4.000 12.8911 9.130E-08 1.022E+10 8.938E-18 4.550E-21
989 8.000 1 4.000 12.8606 9.061E-08 4.873E+10 1.860E-18 4.493E-21
1143 8.000 1 4.000 12.8341 7.924E-08 5.530E+09 1.433E-17 3.912E-21
1280 8.000 1 4.000 12.8080 7.858E-08 1.341E+09 5.858E-17 3.865E-21
553 8.000 1 4.000 12.9181 7.333E-08 1.550E+10 4.730E-18 3.670E-21
1060 8.000 1 4.000 12.8554 7.333E-08 2.908E+09 2.522E-17 3.633E-21
625 8.000 1 4.000 12.9089 6.160E-08 2.623E+09 2.348E-17 3.077E-21
396 8.000 1 4.000 12.9836 5.039E-08 6.314E+07 7.981E-16 2.547E-21
1440 8.000 1 4.000 12.7868 4.258E-08 3.931E+10 1.083E-18 2.088E-21
1147 6.000 1 4.000 12.8340 4.248E-08 7.644E+07 5.558E-16 1.574E-21
1062 6.000 1 4.000 12.8553 4.066E-08 9.607E+07 4.233E-16 1.511E-21
1063 8.000 1 4.000 12.8553 2.999E-08 5.279E+07 5.681E-16 1.486E-21
960 8.000 1 4.000 12.8607 2.041E-08 1.063E+08 1.921E-16 1.012E-21
392 8.000 1 4.000 12.9836 1.787E-08 6.520E+06 2.742E-15 9.038E-22
1202 8.000 1 4.000 12.8258 1.235E-08 2.063E+11 5.988E-20 6.093E-22
563 8.000 1 4.000 12.9179 1.161E-08 1.059E+10 1.096E-18 5.807E-22
797 8.000 1 4.000 12.8821 1.064E-08 2.295E+06 4.636E-15 5.293E-22
1498 8.000 1 4.000 12.7523 7.384E-09 1.160E+11 6.363E-20 3.600E-22
1009 8.000 1 4.000 12.8606 4.787E-09 5.158E+07 9.282E-17 2.374E-22
889 8.000 1 4.000 12.8614 4.471E-09 1.492E+11 2.997E-20 2.218E-22
969 8.000 1 4.000 12.8607 4.289E-09 2.174E+07 1.973E-16 2.127E-22
285 8.000 1 4.000 13.0054 2.424E-09 7.958E+07 3.046E-17 1.229E-22
1464 8.000 1 4.000 12.7867 1.844E-09 2.245E+09 8.212E-19 9.040E-23
1013 8.000 1 4.000 12.8606 1.386E-09 6.538E+08 2.120E-18 6.875E-23
1303 8.000 1 4.000 12.8079 4.734E-10 6.122E+06 7.732E-17 2.328E-23
550 8.000 1 4.000 12.9181 4.373E-10 1.279E+09 3.419E-19 2.188E-23
1101 8.000 1 4.000 12.8434 3.303E-10 2.629E+09 1.256E-19 1.634E-23
1490 8.000 1 4.000 12.7524 2.238E-10 3.502E+11 6.388E-22 1.091E-23
1279 8.000 1 4.000 12.8080 2.040E-10 1.847E+09 1.104E-19 1.004E-23
937 8.000 1 4.000 12.8607 1.854E-10 1.023E+07 1.812E-17 9.193E-24
1524 8.000 1 4.000 12.7313 1.526E-10 2.419E+11 6.310E-22 7.417E-24
1427 8.000 1 4.000 12.7875 1.038E-10 4.021E+11 2.582E-22 5.090E-24
